yaml_file_name,ckpt_link,data_shape_nchw,task_type,dict_file
db_mobilenetv3_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/dbnet/dbnet_mobilenetv3-62c44539.ckpt,"(1,3,736,1280)",det,Default
db_r18_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/dbnet/dbnet_resnet18-0c0c4cfa.ckpt,"(1,3,736,1280)",det,Default
db_r50_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/dbnet/dbnet_resnet50-c3a4aa24.ckpt,"(1,3,736,1280)",det,Default
dbpp_r50_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/dbnet/dbnetpp_resnet50-068166c2.ckpt,"(1,3,1152,2048)",det,Default
east_r50_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/east/east_resnet50_ic15-7262e359.ckpt,"(1,3,720,1280)",det,Default
east_mobilenetv3_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/east/east_mobilenetv3_ic15-4288dba1.ckpt,"(1,3,720,1280)",det,Default
pse_r152_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/psenet/psenet_resnet152_ic15-6058a798.ckpt,"(1,3,1472,2624)",det,Default
pse_r50_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/psenet/psenet_resnet50_ic15-7e36cab9.ckpt,"(1,3,736,1312)",det,Default
pse_mv3_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/psenet/psenet_mobilenetv3_ic15-bf2c1907.ckpt,"(1,3,736,1312)",det,Default
fce_icdar15.yaml,https://download.mindspore.cn/toolkits/mindocr/fcenet/fcenet_resnet50-43857f7f.ckpt,"(1,3,736,1280)",det,Default
crnn_vgg7.yaml,https://download.mindspore.cn/toolkits/mindocr/crnn/crnn_vgg7-ea7e996c.ckpt,"(1,3,32,100)",rec,Default
crnn_resnet34.yaml,https://download.mindspore.cn/toolkits/mindocr/crnn/crnn_resnet34-83f37f07.ckpt,"(1,3,32,100)",rec,Default
crnn_resnet34_ch.yaml,https://download.mindspore.cn/toolkits/mindocr/crnn/crnn_resnet34_ch-7a342e3c.ckpt,"(1,3,32,320)",rec,https://github.com/mindspore-lab/mindocr/tree/main/mindocr/utils/dict/ch_dict.txt
svtr_tiny.yaml,https://download.mindspore.cn/toolkits/mindocr/svtr/svtr_tiny-950be1c3.ckpt,"(1,3,64,256)",rec,Default
rare_resnet34.yaml,https://download.mindspore.cn/toolkits/mindocr/rare/rare_resnet34-309dc63e.ckpt,"(1,3,32,100)",rec,Default
rare_resnet34_ch.yaml,https://download.mindspore.cn/toolkits/mindocr/rare/rare_resnet34_ch-5f3023e2.ckpt,"(1,3,32,320)",rec,https://github.com/mindspore-lab/mindocr/tree/main/mindocr/utils/dict/ch_dict.txt
robustscanner_resnet31.yaml,https://download.mindspore.cn/toolkits/mindocr/robustscanner/robustscanner_resnet31-f27eab37.ckpt,"(1,3,48,160)",rec,https://github.com/mindspore-lab/mindocr/blob/main/mindocr/utils/dict/en_dict90.txt
visionlan_resnet45_LA.yaml,https://download.mindspore.cn/toolkits/mindocr/visionlan/visionlan_resnet45_LA-e9720d9e.ckpt,"(1,3,64,256)",rec,Default
cls_mv3.yaml,https://download.mindspore.cn/toolkits/mindocr/cls/cls_mobilenetv3-92db9c58.ckpt,"(1,3,48,192)",cls,Default